timestamp,match_time,robot_enabled,autonomous,voltage_battery,current_total,current_ch00,current_ch01,current_ch02,current_ch03,current_ch04,current_ch05,current_ch06,current_ch07,subsystem_drive,subsystem_shooter,subsystem_intake,subsystem_climber
0.00,15.00,False,True,12.62,1.9,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,idle,idle,idle,idle
0.02,14.98,True,True,12.55,16.8,3.8,3.6,3.7,3.9,0.4,0.4,1.0,0.0,auto,idle,idle,idle
0.04,14.96,True,True,12.53,18.2,4.0,3.8,3.9,4.1,0.4,0.4,1.5,0.0,auto,idle,intaking,idle
0.06,14.94,True,True,12.51,19.6,4.2,4.0,4.1,4.3,0.4,0.4,2.2,0.0,auto,idle,intaking,idle
0.08,14.92,True,True,12.49,21.0,4.4,4.2,4.3,4.5,0.4,0.4,2.8,0.0,auto,idle,intaking,idle
0.10,14.90,True,True,12.47,35.2,4.5,4.3,4.4,4.6,7.5,8.1,1.8,0.0,auto,spinup,idle,idle
0.12,14.88,True,True,12.42,51.8,4.7,4.5,4.6,4.8,15.9,16.3,1.0,0.0,auto,spinup,idle,idle
0.14,14.86,True,True,12.37,59.4,4.8,4.6,4.7,4.9,19.2,19.0,1.2,0.0,auto,firing,idle,idle
0.16,14.84,True,True,12.34,60.7,4.9,4.7,4.8,5.0,19.5,19.8,1.0,0.0,auto,firing,idle,idle
0.18,14.82,True,True,12.32,60.3,4.8,4.6,4.7,4.9,19.4,19.9,1.0,0.0,auto,firing,idle,idle
0.20,14.80,True,True,12.34,39.2,4.7,4.5,4.6,4.8,11.8,11.8,1.0,0.0,auto,spinup,idle,idle
0.22,14.78,True,True,12.37,20.5,4.3,4.1,4.2,4.4,0.4,0.4,2.7,0.0,auto,idle,intaking,idle
15.00,0.00,True,False,12.48,4.8,0.7,0.7,0.7,0.7,0.4,0.4,0.0,0.0,teleop,idle,idle,idle
15.02,149.98,True,False,12.44,26.9,5.9,5.6,5.8,6.0,0.4,0.4,2.8,0.0,teleop,idle,intaking,idle
15.04,149.96,True,False,12.40,44.8,6.2,5.9,6.1,6.3,9.0,9.3,2.0,0.0,teleop,spinup,intaking,idle
15.06,149.94,True,False,12.35,65.7,6.5,6.2,6.4,6.6,19.5,19.6,1.9,0.0,teleop,firing,idle,idle
15.08,149.92,True,False,12.30,69.4,6.7,6.4,6.6,6.8,20.2,20.7,2.0,0.0,teleop,firing,idle,idle
15.10,149.90,True,False,12.26,71.8,6.9,6.6,6.8,7.0,20.5,21.0,1.0,0.0,teleop,firing,idle,idle
15.12,149.88,True,False,12.23,74.0,7.1,6.8,7.0,7.2,20.7,21.2,1.0,0.0,teleop,firing,idle,idle
15.14,149.86,True,False,12.19,75.5,7.2,6.9,7.1,7.3,21.0,21.0,1.0,0.0,teleop,firing,idle,idle
120.00,30.00,True,False,12.35,8.2,1.0,0.9,1.0,1.0,0.4,0.4,0.0,0.0,teleop,idle,idle,idle
120.02,29.98,True,False,12.28,42.5,4.5,4.3,4.4,4.6,0.4,0.4,0.0,23.8,teleop,idle,idle,climbing
120.04,29.96,True,False,12.18,58.3,4.8,4.6,4.7,4.9,0.4,0.4,0.0,42.5,teleop,idle,idle,climbing
120.06,29.94,True,False,12.07,61.4,5.0,4.8,4.9,5.1,0.4,0.4,0.0,44.8,teleop,idle,idle,climbing
120.08,29.92,True,False,11.93,63.7,5.1,4.9,5.0,5.2,0.4,0.4,0.0,46.7,teleop,idle,idle,climbing
120.10,29.90,True,False,11.88,64.1,5.1,4.9,5.0,5.2,0.4,0.4,0.0,47.1,teleop,idle,idle,climbing
120.12,29.88,True,False,11.85,63.5,5.1,4.9,5.0,5.2,0.4,0.4,0.0,46.5,teleop,idle,idle,climbing
120.14,29.86,True,False,11.88,44.2,4.6,4.4,4.5,4.7,0.4,0.4,0.0,28.2,teleop,idle,idle,deploying
120.16,29.84,True,False,12.15,12.4,1.1,1.0,1.1,1.1,0.4,0.4,0.0,6.3,teleop,idle,idle,deploying
165.00,0.00,True,False,12.40,3.1,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,idle,idle,idle,idle
