Timestamp,/Climber/LiftMotorCurrentAmps,/Drive/Module0/DriveCurrentAmps,/Drive/Module0/TurnCurrentAmps,/Drive/Module1/DriveCurrentAmps,/Drive/Module1/TurnCurrentAmps,/Drive/Module2/DriveCurrentAmps,/Drive/Module2/TurnCurrentAmps,/Drive/Module3/DriveCurrentAmps,/Drive/Module3/TurnCurrentAmps,/DriverStation/Autonomous,/DriverStation/Enabled,/DriverStation/MatchNumber,/DriverStation/MatchTime,/DriverStation/MatchType,/Hopper/AgitatorCurrentAmps,/Hopper/IndexerCurrentAmps,/Hopper/ShooterFeedingRollerCurrentAmps,/Intake/IntakePivotCurrentAmps,/Intake/IntakeRollerCurrentAmps,/Shooter/AngleMotorCurrentAmps,/Shooter/BottomRollerMotorCurrentAmps,/Shooter/TopRollerMotorCurrentAmps,/SystemStats/BatteryVoltage,/SystemStats/BrownedOut,/SystemStats/BrownoutVoltage
229.926208,-0.08,-0.34,-0.1,-0.56,-0.16,-0.18,-0.18,-0.12,-0.12,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.806087646484375,False,6.75
229.936944,-0.14,-0.02,-0.34,-0.46,-0.3,-0.32,-0.1,-0.06,-0.14,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.82493505859375,False,6.75
229.957201,-0.16,-0.18,0.0,-0.4,-0.32,-0.26,-0.2,-0.18,-0.1,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
229.976994,-0.08,-0.38,-0.14,-0.26,-0.18,-0.26,-0.24,-0.04,-0.22,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.806087646484375,False,6.75
229.99879,-0.02,-0.08,-0.46,-0.34,-0.16,-0.36,-0.46,-0.2,-0.06,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.806087646484375,False,6.75
230.016858,-0.18,-0.28,-0.42,-0.48,-0.24,-0.3,-0.36,-0.1,-0.54,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.036855,-0.04,-0.08,-0.48,-0.28,-0.4,-0.24,-0.38,-0.22,-0.02,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.057185,-0.04,-0.36,-0.08,-0.56,-0.22,-0.24,-0.42,-0.08,-0.02,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.076867,-0.1,-0.04,-0.04,-0.28,-0.36,-0.24,-0.06,-0.12,-0.02,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.096864,-0.06,-0.2,-0.4,-0.3,-0.48,-0.36,-0.18,-0.02,-0.18,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.806087646484375,False,6.75
230.116935,-0.04,-0.12,-0.04,-0.26,-0.04,-0.34,-0.2,-0.08,-0.08,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.136839,-0.06,-0.28,0.0,-0.44,-0.06,-0.32,-0.24,-0.2,-0.06,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.15704,0.0,-0.14,-0.34,-0.48,-0.3,-0.32,0.0,-0.16,-0.06,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.176907,-0.18,-0.2,-0.34,-0.52,-0.24,-0.32,-0.18,-0.1,-0.02,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.806087646484375,False,6.75
230.197312,-0.02,-0.16,-0.16,-0.52,-0.52,-0.28,-0.42,-0.04,-0.22,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.8123701171875,False,6.75
230.216864,-0.08,-0.14,-0.42,-0.08,-0.18,-0.38,-0.36,-0.04,-0.06,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.236861,-0.04,-0.32,-0.14,-0.48,-0.3,-0.26,-0.18,-0.08,-0.28,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.256932,-0.08,-0.18,-0.02,-0.42,-0.26,-0.22,-0.5,-0.08,-0.02,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.27704,-0.06,-0.24,-0.48,-0.56,-0.14,-0.2,-0.04,-0.08,-0.1,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.29687,-0.16,-0.18,-0.16,-0.26,-0.02,-0.3,-0.08,-0.24,-0.1,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.82493505859375,False,6.75
230.317108,-0.14,-0.26,-0.3,-0.46,-0.46,-0.16,-0.32,-0.34,-0.14,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.82493505859375,False,6.75
230.337272,-0.02,-0.3,-0.06,-0.44,-0.26,-0.16,-0.32,-0.2,-0.24,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.356842,-0.1,-0.02,-0.42,-0.28,-0.2,-0.42,-0.4,-0.08,-0.04,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.376876,-0.2,-0.24,-0.36,-0.26,-0.28,-0.06,-0.18,-0.22,-0.28,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.82493505859375,False,6.75
230.396836,-0.18,-0.12,-0.2,-0.3,-0.58,-0.4,-0.24,-0.08,-0.26,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.82493505859375,False,6.75
230.417222,-0.06,-0.12,-0.04,-0.5,-0.24,-0.34,-0.08,-0.02,-0.04,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.437034,-0.16,-0.3,-0.62,-0.32,-0.24,-0.32,-0.08,-0.06,-0.02,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.831217529296875,False,6.75
230.457754,-0.14,-0.02,-0.24,-0.36,-0.12,-0.3,-0.12,-0.04,-0.16,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.82493505859375,False,6.75
230.477065,-0.04,-0.04,-0.6,-0.32,-0.44,-0.02,-0.22,-0.06,-0.4,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.818652587890625,False,6.75
230.496932,-0.06,-0.2,-0.4,-0.26,-0.26,-0.1,-0.24,-0.4,-0.16,True,False,4,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,12.806087646484375,False,6.75
